Row,mr,Overall,Prevent,Detect,Respond,Health,Norms,Risk,Covid,BUAPC,UP,MA,IM,GDP,HDI,IE,RE,CH,AL,OB,SM,CD,RBP,IN,BCG,ON,PL
Nigeria,-3.96581854293665,3.35606682624419,26.3,44.6,3.52499119760389,4.46094160463909,7.52994023880668,1135.69,5.7314418157525,7.98400935703927,2534.518336,18.6,-4.3267781604434,7.70975686445416,-0.651152823843988,-1737.5592076243,-4.05787469651832,-1.28452325786651,10.8,-3.36729582998647,4.8,2.82310808664309,4.88876262463213,-6.3166446789415,-2,4.0943445622221,4.21350694495658
Norway,-3.54715129428524,4.01246113968763,68.2,58.6,3.87532081977851,7.64852927038918,8.02496105909555,7586.41,7.86714395590856,11.5062385911731,6764.733504,39.5,-0.741937344729377,11.2308277708123,-0.0547722557505166,-1605.9613943056,0.0642189986624501,-0.5,7.4,-2.69462718077007,13,2.09537910634329,4.43846820423443,-5.94138031100518,-2,2.77258872223978,1.96355249272744
New Zealand,-4.21202612139557,3.77976314968462,55,36.7,3.87310000506878,6.72309452558864,7.70713954719908,5959.84,7.06781599848961,15.6799983741708,7488.825444,37.2,-1.54756250871601,10.6474228999282,-0.197484176581315,-1626.25612988852,-3.44803703930073,-0.632455532033675,10.6,-1.96009478404727,14.8,2.16159233294508,4.02492235949962,-4.9598387070549,-2,3.3322045101752,1.8114573982331
Pakistan,-3.78751878754751,3.28656922572121,24.1,41.7,3.38249363735134,4.46094160463909,7.04982269280583,1497.69,4.76620044340003,5.36732051433208,1344.395556,22,-4.04655389838575,7.20711885620776,-0.627694193059009,-1648.97301372703,-0.433383177445698,-1.04880884817015,0.3,-3.37758751602302,20,2.91227456856365,5.52268050859363,-5.7706152185014,-3.60555127546399,3.58351893845611,4.0757624713532
Panama,-3.82273205682722,3.52230651172327,40.5,44.6,3.59340355828611,5.92452529743945,5.94138031100518,4070.44,6.52070090020122,10.0362253405352,4584.508681,30.1,-2.57261223020711,9.6633885668225,-0.408656334834051,-1631.90440896518,-2.82520090673566,-0.894427190999915,8,-2.72129542785223,6.9,2.35133468772076,4.46094160463909,-6,-0,3.43398720448515,2.47381286569128
Portugal,-3.23142829093932,3.92138157604546,52.8,50.5,4.07564381913625,7.41619848709566,7.93725393319377,5975.29,7.7748489285689,10.8048037488887,4252.474521,44.6,-1.1314021114911,10.0495340534654,-0.330151480384384,-1658.04493304615,-3.87282042694189,-0.632455532033675,12,-2.83907846350861,27.9,2.23069910447562,4.93963561409139,-4.85798312059645,-2,2.99573227355399,2.12891477762166
Romania,-2.65307070973674,3.57784750395284,48.9,42.8,3.28038563778295,6.05805249234438,7.23878442834154,4316.49,6.33617601055886,9.42813673387642,2915.784004,42.5,-1.80828877117927,9.46653177733659,-0.380788655293195,-1757.58612875728,-3.84082198624005,-0.836660026534075,11.7,-2.73436750941958,25.5,2.77633109854556,5.47722557505166,-5.62138772902208,-1.73205080756888,3.3322045101752,2.69472490606237
Russia,-4.06943367184261,3.53835368776025,42.9,34.1,3.686485884109,6.13188388670236,7.2525857457875,2641.96,6.4080140198162,9.30337060653288,5540.271489,40.3,-1.80828877117927,9.35746643686648,-0.374165738677394,-1648.97301372703,-2.92604100687789,-0.774596669241483,11.2,-2.69462718077007,28.3,2.93953005893587,5.21536192416212,-7.06399320497974,-2,3.25809653802148,2.80079744636353
Saudi Arabia,-4.03959738386465,3.66675849173161,34.3,74.4,3.19452187728006,6.6932802122726,7.1133676975115,3564.09,6.79803047880815,10.5763882187635,7029.816336,30.8,-1.79175946922805,10.0493180007477,-0.320936130717624,-1648.97301372703,-7.16107144513836,-0.948683298050514,0.2,-2.76000994003292,16.6,2.54066818554496,4.82700735445887,-6,-1,3.25809653802148,4.46453956997521
Senegal,-3.85917376689371,3.35902371484531,25.4,35.1,3.56740117441337,4.30116263352131,7.54983443527075,2323.24,4.97048761455421,7.10552481089891,2227.084864,19.4,-3.45946628978613,7.27724772663148,-0.671565335615233,-1679.02144119722,-2.42915018512661,-1.20415945787923,0.8,-3.37073817417745,9.1,2.62558565919638,5.49545266561363,-6.62570750939098,-4,3.3322045101752,3.68400701629446
El Salvador,-3.51815703316333,3.53568926379501,22.1,73.9,3.47878320959831,5.01996015920445,7.10633520177595,2304,6.74421846907562,8.6939425183745,5187.312529,27.7,-2.46809953147162,10.1557626303566,-0.53103672189407,-1709.3291081591,-7.20377019292549,-1,3.9,-2.58776403522771,12.7,2.41014226417523,4.32434966208793,-6,-4.24264068711928,3.66356164612965,3.24379258092192
Serbia,-3.83232614989055,3.7396753032956,48.8,46.2,3.80525588498343,7.52329714952161,7.04982269280583,3504.64,6.77329950665822,10.3927945159134,3146.312464,43.4,-1.56861591791385,8.9095055129461,-0.411096095821889,-1642.89744049956,-0.808101237991283,-0.774596669241483,8.7,-2.79728133483015,40.6,2.67307486606019,5.43139024560011,-5.24404424085076,-1,3.3322045101752,3.23481219211755
Sweden,-2.55636561377015,4.16209275866274,81.1,86,3.97484210176689,7.02139587261678,8.44393273303382,7140.25,7.97009496763391,10.9977860717965,7644.179761,41.1,-0.78845736036427,10.8514707311428,-0.151657508881031,-1587.1710682847,0.881023961660271,-0.774596669241483,8.9,-2.85070650150373,28.8,2.08775947866345,4.39317652729776,-6.62570750939098,-2,3.04452243772342,1.83951916478989
Trinidad and Tobago,-2.60996244477346,3.32017031109669,28.1,14.7,3.50882128585544,4.86826457785523,7.42293742395825,4147.36,5.6301732277713,14.3110168793136,2828.537856,37.8,-2.79728133483015,9.75713141617478,-0.414728827066554,-1650.18514112811,-2.87753171444109,-0.948683298050514,6.7,-2.96010509591084,23.5,2.77199984174875,5.07937003968012,-5.3665631459995,-2,3.58351893845611,3.20191092915647
Tunisia,-3.56568407082008,3.2300553687627,31.7,26.3,3.39410744053,4.89897948556636,5.56776436283002,3102.49,4.89399115500706,10.1777397485886,4753.413025,32.7,-2.68102152871429,8.10711747075039,-0.470106370941726,-1655.0262837792,-4.69780913963575,-0.894427190999915,2.1,-2.39789527279837,26,2.52508087183385,4.81663783151692,-6.04979338490167,-2.64575131106459,3.43398720448515,3.61371644188958
Turkey,-4.57809100115137,3.74205726273154,56.9,45.6,3.65930571002297,6.76017751246223,8.01872807869178,3192.25,7.04888513235926,7.13413181997641,5646.470449,32.2,-2.2082744135228,9.10974625674048,-0.406201920231798,-1648.97301372703,1.48453737155213,-0.921954445729289,2,-1.75785791755237,29.3,2.52508087183385,4.50555213042752,-6.03324125159934,-1.73205080756888,3.55534806148941,3.78512515618082
Uruguay,-3.54715129428524,3.45660709642347,44,33.5,3.45660709642347,4.90917508345343,6.26897120746299,5595.04,6.46769158840762,10.5804484259884,9088.571556,35.5,-1.85629799036563,9.69214904667168,-0.389871773792358,-1653.51504377795,-4.48340243159305,-0.894427190999916,6.9,-2.30258509299405,21.8,2.55606655048144,4.54972526643093,-6.6783231428256,-1,3.49650756146648,2.25011865927388
Uzbekistan,-4.83296114918288,3.24911218352895,42.6,19.4,3.02934171527249,4,7.77817459305202,2284.84,4.67470571942431,9.49741733055887,2548.028484,30.1,-2.94968833505258,7.45298232946546,-0.49598387070549,-1662.35555763501,-2.77706398740313,-1.14017542509914,2.6,-3.05870707271538,12.3,2.90439286678185,5.05964425626941,-6.92098258919931,-1.73205080756888,3.46573590279973,3.3626274183386
Venezuela,-4.74150832964078,2.84386697985157,23.5,8.7,2.70077709684987,3.59165699921359,6.49615270756469,1459.24,3.38047129952268,6.56817626346918,7780.651264,30,-3.06339092202781,9.68377560652361,-0.441588043316392,-1648.97301372703,-1.44404765355737,-0.948683298050514,4.1,-2.50959926237837,23.5,2.62558565919638,4.31277173056957,-5.96657355607052,-2.64575131106459,3.63758615972639,2.87161546575039
South Africa,-3.68427704251248,3.79833722265818,44.8,81.5,3.8641911754378,5.74456264653803,6.8044103344816,3819.24,6.8566185828588,11.7547573989428,4402.986025,28,-3.3499040872746,8.61613313927114,-0.506951674225463,-1648.97301372703,-1.8807739192119,-1,9.5,-2.26176309847379,31.4,2.97007281769264,5.18652099195598,-5.3665631459995,-2,3.17805383034795,3.23992509419496
