Row,mr,Overall,Prevent,Detect,Respond,Health,Norms,Risk,Covid,BUAPC,UP,MA,IM,GDP,HDI,IE,RE,CH,AL,OB,SM,CD,RBP,IN,BCG,ON,PL
Central African Republic,-4.32583124582029,3.01107021100758,18,17.7,3.59855909413392,3.57770876399966,6.64830805543787,529,4.64924910511142,7.46274871386542,1710.980496,20,-4.43675153436313,6.14846829591765,-0.767463354173996,-1708.54089795943,-1.96434706085768,-1.18321595661992,2.4,-3.41444260841218,23.5,2.84798256733007,5.58569601750758,-7.25947656515261,-2,4.34380542185368,4.01910684417138
Canada,-2.40885428658809,4.22277873038094,70,96.4,3.93003330089383,8.22800097228968,8.64291617453276,6839.29,8.54709737649094,15.6151839197302,6627.750921,41.8,-1.45861502269952,10.7406268461048,-0.173205080756887,-1648.97301372703,-1.19214938556197,-0.707106781186548,8.9,-2.14006616349627,17.5,2.13997496113016,3.63318042491699,-6.19677335393187,-2,2.484906649788,1.90940933586969
Switzerland,-2.7658090352544,4.06154810044568,52.7,59.1,4.2962650098278,7.90569415042095,8.09938269252663,7430.44,7.98381984455717,11.7997620079153,5445.997209,42.7,-1.30833281965018,11.3144013528376,-0.109544511501033,-1568.15592336987,0.193330111083883,-0.591607978309961,11.5,-2.91235066461494,25.1,2.04879961451827,4.24264068711928,-6.58027355054484,-2,2.56494935746154,2.36589455868356
Chile,-3.56568407082008,3.87753909205444,56.2,72.7,3.91921266986404,6.26897120746299,7.17635004720366,4914.01,6.99667408672593,7.3203808040839,7667.454096,35.5,-1.82454929205105,9.60891512937959,-0.336154726279432,-1648.97301372703,-4.53498403026774,-0.774596669241483,9.1,-2.29253475714054,23.5,2.31458905452588,4.57165178026498,-6.35609943282828,-1.73205080756888,2.94443897916644,3.07486411767109
Cote d'Ivoire,-5.09334782679469,3.28656922572121,27.3,44.5,3.0968403463691,4.13521462562707,7.32120208708925,1823.29,5.03601968352722,7.12214390002758,2578.506841,20.3,-4.0842942263686,7.73455884435476,-0.681175454637056,-1661.05749448958,-4.95639276791728,-0.866025403784439,6.7,-2.76000994003292,23.5,3.07584417301533,4.86826457785523,-6,-2,3.66356164612965,3.2263895932769
Colombia,-3.40627274601907,3.53568926379501,37.2,41.7,3.51692482799883,5.85662018573853,7.75241897732572,2601,5.8286845186878,5.037185114764,6525.085284,31.2,-2.50143595173921,8.7690408108588,-0.457165178026498,-1648.97301372703,-7.39255699938331,-0.894427190999916,5.7,-2.74727091425549,7.9,2.5092987040931,4.38178046004133,-4.79583152331272,-3.16227766016838,3.36729582998647,2.83680511679312
Costa Rica,-4.28027173955891,3.55952609102092,44.2,56,3.32017031109669,4.97995983919549,6.56505902486794,5140.89,7.00303710797195,10.6598565712208,6294.8356,32.6,-2.02814824729229,9.41230114402249,-0.402492235949962,-1642.59307194448,-2.40702257447369,-0.894427190999915,4.9,-2.50143595173921,9.8,2.257178717737,4.32434966208793,-4.57165178026498,-2.64575131106459,3.52636052461616,2.7897885488268
Cuba,-3.27326022726598,3.27728508240258,41.4,10.5,2.95869311677058,6.11555394056826,7.05691150575094,3340.84,5.29899144600438,9.65038736744282,5934.699369,42.1,-1.30833281965018,9.08500388066489,-0.423083916026123,-1670.66214418116,-5.97861959795977,-1.04880884817015,5.8,-2.58776403522771,27.1,2.54066818554496,4.35889894354067,-5.48634668973808,-0,3.49650756146648,3.01054799151908
Cyprus,-4.0105964963071,3.50339806038672,46.4,44.9,3.23643259236457,4.67974358271904,7.00713921654194,4844.16,5.82301221571515,16.0906715890605,4463.5761,37.9,-0.641853886172395,10.234875457248,-0.294957624075052,-1641.3750333181,-0.0845512533109011,-0.632455532033675,10.8,-2.77881927199042,36.7,2.24401702659183,4.4497190922574,-4.75394572960189,-2,3.43398720448515,2.87245600012486
Czechia,-3.34680330959636,3.73251115681725,51.1,50.7,3.59855909413392,6.11555394056826,7.67463354173996,5476,6.61511678770243,12.1478430285792,5445.259264,43.3,-0.993251773010283,10.0645429115369,-0.260768096208106,-1615.25694550434,-3.88792049545418,-0.707106781186548,14.4,-2.47653840011748,31.5,2.46621207433047,5.2820450584977,-5.9916608715781,-2,3.09104245335832,2.80537054099848
Germany,-3.02068711244716,4.04124002062219,66.5,84.6,3.79833722265818,6.94262198308391,7.86765530510838,6773.29,7.97416806455941,13.6018944103369,5977.145344,47.8,-1.1314021114911,10.7420113186041,-0.141421356237309,-1648.97301372703,0.246613052551846,-0.447213595499957,12.9,-2.74727091425549,28,2.29577042466555,4.46094160463909,-4.97995983919549,-2,2.56494935746154,2.5086203516943
Djibouti,-4.47607339043143,2.85208629428482,16.3,17,2.85208629428482,3.04959013639538,6.02494813255683,1823.29,3.62605513775907,1.89089028632547,6049.261729,24.9,-3.90801498403061,8.1341742721379,-0.692820323027551,-1647.60765960832,0.630838528264288,-0.974679434480896,0.4,-3.19458313229916,23.5,2.69619949977585,5.17687164221791,-6,-2.44948974278318,3.76120011569356,3.79881150640656
Denmark,-2.96569376443476,4.12912046182547,72.9,86,3.87975482916067,7.98749021908634,7.91201617794099,6448.09,8.14053995780364,14.1243192905711,7721.839876,42,-1.28093384546206,10.9991287652593,-0.16431676725155,-1625.76566577105,-0.462741821950029,-0.387298334620741,10.3,-2.90142159408275,18.6,2.24401702659183,4.53872228716409,-6.20483682299543,-2,3.36729582998647,2.33037691416984
