Country	OVERALL SCORE	1) PREVENTION OF THE EMERGENCE OR RELEASE OF PATHOGENS	2) EARLY DETECTION & REPORTING FOR EPIDEMICS OF POTENTIAL INT'L CONCERN	3) RAPID RESPONSE TO AND MITIGATION OF THE SPREAD OF AN EPIDEMIC	4) SUFFICIENT & ROBUST HEALTH SECTOR TO TREAT THE SICK & PROTECT HEALTH WORKERS	"5) COMMITMENTS TO IMPROVING NATIONAL CAPACITY, FINANCING AND ADHERENCE TO NORMS"	6) OVERALL RISK ENVIRONMENT AND COUNTRY VULNERABILITY TO BIOLOGICAL THREATS
Maldives	32	20.8	20.8	35.3	18.8	35.9	60.2
Mali	29	10.5	25.1	32.2	17.3	56.1	32.7
Malta	40.2	36.2	21.8	27.4	26.4	55.6	73.8
Marshall Islands	24.6	0	20.4	34.7	10.6	33	49
Mauritania	26.2	1.9	26.7	28.5	21	37.8	41.3
Mauritius	39.7	27.3	32.2	35	23.1	54.5	65.8
Mexico	57	41.9	54.3	64.8	54.7	68.1	57.9
"Micronesia, Federated States of"	28.5	10.9	25	38.6	8.4	33.2	54.7
Moldova	41	41.6	34.2	35.7	48.3	38.9	47.5
Monaco	33.3	7.5	20.6	35.6	40.9	19.1	76
Mongolia	41	30.2	37.9	41.1	24.3	46.2	66.3
Montenegro	44.1	33.8	32.1	39.7	41.7	59.2	57.9
Morocco	33.6	29.3	27.9	28	30.8	33.2	52.5
Mozambique	30.4	19.2	28.3	26.9	24	43.6	40.5
Myanmar	38.3	21.7	46.8	37.8	19.5	63.7	40.4
Namibia	30.3	9.2	31.8	31.1	16.8	40.6	52.2
Nauru	18	8.3	0	27.7	7.6	16.3	47.8
Nepal	34	30.6	28.1	26.9	37.9	31.1	49.2
Netherlands	64.7	57.8	57.1	58.2	66.7	68.1	80.2
New Zealand	62.5	45	75.3	50.3	48.9	77.8	77.7
Nicaragua	36.3	37.3	23.3	28	47.5	43.4	38.3
Niger	28.7	18.9	24.2	26.7	24	46.4	31.9
Nigeria	38	20.1	37.9	43.2	23.4	62.8	40.7
Niue	20.1	9.4	0	25.1	5.4	21.5	59.1
North Korea	16.1	16.7	0	3.6	7	32.6	36.6
North Macedonia	42.2	35.7	37.1	35.2	38.3	47.4	59.7
Norway	60.2	53.8	46.3	57.5	45	69.4	89
Oman	39.1	35.4	33.5	31.7	28.6	41.5	64.2
Pakistan	30.4	17.1	29.2	18.8	26.8	45.8	44.8
Palau	25.5	4.2	17.5	32.8	6.6	34.4	57.3
Panama	53.5	42.3	50.4	63.5	55	43.2	66.4
Papua New Guinea	25	11.1	14.6	36.5	16.1	29.2	42.3
Paraguay	40.3	40.5	28.3	36.9	40	44.1	51.7
Peru	54.9	37.7	57.8	45.8	71.7	61.5	55
